model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,brand
 Polo,2017,12995,Semi-Auto,18608,Petrol,145,60.1,1.2,Volkswagen
 Zafira,2017,11498,Manual,12421,Petrol,145,41.5,1.4,Vauxhall
 X6,2017,29498,Semi-Auto,40429,Diesel,200,47.1,3.0,BMW
 I30,2019,13498,Manual,5449,Petrol,150,45.6,1.0,Hyundai
 Sharan,2020,29491,Semi-Auto,2053,Diesel,150,41.5,2.0,Volkswagen
 Aygo,2018,6995,Manual,35111,Petrol,145,68.9,1.0,Toyota
 CLS Class,2016,22490,Semi-Auto,24086,Diesel,160,51.4,3.0,Mercedes
 Yaris,2017,8695,Manual,26325,Petrol,145,58.9,1.5,Toyota
 Corsa,2019,10970,Automatic,1206,Petrol,150,39.8,1.4,Vauxhall
 Golf,2016,13499,Automatic,9059,Petrol,30,53.3,1.4,Volkswagen
 Mokka X,2018,12000,Manual,30305,Petrol,150,39.2,1.4,Vauxhall
 Fiesta,2016,8780,Manual,15695,Petrol,0,65.7,1.0,Ford
 RAV4,2017,21998,Automatic,13285,Hybrid,135,57.6,2.5,Toyota
 X1,2018,20000,Semi-Auto,10545,Diesel,145,60.1,2.0,BMW
 Fiesta,2019,14690,Manual,4247,Petrol,145,60.1,1.0,Ford
 Karoq,2019,21490,Semi-Auto,4530,Diesel,145,47.1,1.6,Skoda
 Focus,2018,12050,Manual,19460,Petrol,145,51.4,1.5,Ford
 Mokka X,2018,12189,Manual,5600,Petrol,150,47.1,1.4,Vauxhall
 Z4,2020,30990,Semi-Auto,105,Petrol,145,38.7,2.0,BMW
 A3,2016,11990,Manual,61332,Diesel,20,68.9,2.0,Audi
 Golf,2019,14989,Manual,14930,Diesel,145,57.7,1.6,Volkswagen
 Grandland X,2018,15541,Manual,16403,Petrol,145,55.4,1.2,Vauxhall
 E Class,2019,46399,Semi-Auto,3955,Diesel,145,47.1,3.0,Mercedes
 Mokka,2014,7499,Manual,25911,Petrol,200,43.5,1.6,Vauxhall
 Edge,2019,30970,Semi-Auto,7055,Diesel,145,37.2,2.0,Ford
 Adam,2016,6498,Manual,39812,Petrol,125,53.3,1.2,Vauxhall
 M Class,2013,17500,Automatic,84000,Diesel,205,44.8,2.1,Mercedes
 EcoSport,2015,9000,Manual,11696,Diesel,30,61.4,1.5,Ford
 Kona,2019,15995,Manual,9000,Petrol,145,44.1,1.0,Hyundai
 Ka+,2018,7995,Manual,7800,Petrol,150,57.7,1.2,Ford
 Meriva,2016,8000,Manual,37453,Petrol,160,44.8,1.4,Vauxhall
 Polo,2019,14650,Semi-Auto,10050,Petrol,150,45.6,1.0,Volkswagen
 A Class,2016,14480,Manual,24089,Diesel,20,72.4,1.5,Mercedes
 Hilux,2017,19490,Automatic,35855,Diesel,260,36.2,2.4,Toyota
 A5,2018,19495,Semi-Auto,36715,Petrol,150,35.3,3.0,Audi
 Q2,2020,30995,Semi-Auto,2142,Diesel,145,44.8,2.0,Audi
 Yeti Outdoor,2016,9998,Manual,29098,Petrol,125,51.4,1.2,Skoda
 I10,2017,6740,Manual,33859,Petrol,145,57.7,1.2,Hyundai
 2 Series,2016,19500,Semi-Auto,24790,Petrol,265,37.2,3.0,BMW
 Focus,2017,9000,Manual,54900,Diesel,0,74.3,1.5,Ford
 A4,2019,29991,Automatic,2798,Diesel,145,44.8,2.0,Audi
 GLA Class,2017,15495,Manual,65261,Diesel,30,64.2,2.1,Mercedes
 1 Series,2016,9440,Manual,71000,Diesel,0,83.1,1.5,BMW
 A3,2017,17400,Manual,24200,Petrol,145,54.3,1.5,Audi
 C Class,2014,16499,Semi-Auto,35700,Diesel,30,64.2,2.1,Mercedes
 Golf,2019,17290,Manual,5150,Petrol,145,47.1,1.5,Volkswagen
 Golf,2020,21489,Semi-Auto,6800,Petrol,145,47.1,1.5,Volkswagen
 B Class,2013,8899,Automatic,47000,Petrol,145,47.9,1.6,Mercedes
 A Class,2016,14999,Manual,23974,Diesel,20,68.9,1.5,Mercedes
 Auris,2014,12495,Automatic,17354,Hybrid,0,76.4,1.8,Toyota
 Astra,2013,5555,Manual,69904,Diesel,30,62.8,2.0,Vauxhall
 Corsa,2013,4223,Manual,72005,Petrol,125,51.4,1.4,Vauxhall
 Kuga,2017,16750,Manual,32879,Diesel,145,54.3,2.0,Ford
 B-MAX,2012,9995,Semi-Auto,11310,Petrol,160,44.1,1.6,Ford
 Fiesta,2018,12499,Manual,8700,Petrol,145,58.9,1.0,Ford
 Insignia,2016,7699,Manual,49456,Diesel,30,62.8,2.0,Vauxhall
 Kona,2018,14990,Manual,27317,Petrol,145,52.3,1.0,Hyundai
 1 Series,2014,13990,Manual,33580,Petrol,200,42.8,2.0,BMW
 4 Series,2020,28300,Semi-Auto,20,Diesel,145,65.7,2.0,BMW
 A4,2011,9995,Automatic,78000,Diesel,305,39.8,3.0,Audi
 IX35,2014,8999,Manual,36189,Diesel,150,53.3,1.7,Hyundai
 C Class,2015,14698,Semi-Auto,39687,Petrol,125,52.3,2.0,Mercedes
 3 Series,2014,13891,Semi-Auto,28173,Diesel,125,58.9,2.0,BMW
 Mokka X,2019,14780,Manual,12961,Petrol,145,39.2,1.4,Vauxhall
 Corsa,2013,4395,Manual,44800,Petrol,125,51.4,1.2,Vauxhall
 Kuga,2018,18999,Manual,13154,Diesel,145,60.1,2.0,Ford
 Auris,2016,12891,Automatic,18601,Hybrid,0,72.4,1.8,Toyota
 CLS Class,2016,21245,Automatic,46068,Diesel,145,56.5,2.1,Mercedes
 Golf,2016,12000,Manual,21378,Petrol,30,53.3,1.4,Volkswagen
 Aygo,2019,9999,Manual,1500,Petrol,145,56.5,1.0,Toyota
 S Class,2015,27000,Automatic,30782,Hybrid,20,64.2,2.1,Mercedes
 GLC Class,2019,39825,Semi-Auto,6330,Diesel,145,40.9,2.0,Mercedes
 EcoSport,2017,10300,Manual,20833,Petrol,145,52.3,1.0,Ford
 Q3,2019,34990,Semi-Auto,6000,Petrol,145,31.4,2.0,Audi
 A3,2019,22150,Semi-Auto,6159,Diesel,145,52.3,1.6,Audi
 Q3,2016,16250,Manual,29841,Diesel,125,60.1,2.0,Audi
 Zafira,2016,9200,Manual,17465,Petrol,200,42.2,1.4,Vauxhall
 Tiguan,2013,10995,Semi-Auto,32678,Diesel,205,47.7,2.0,Volkswagen
 Grand C-MAX,2015,8498,Manual,47182,Diesel,30,64.2,1.5,Ford
 Rapid,2016,8295,Manual,14474,Petrol,20,57.7,1.2,Skoda
 A3,2017,15601,Manual,50689,Diesel,145,65.7,2.0,Audi
 Zafira Tourer,2016,9999,Manual,32363,Petrol,200,42.2,1.4,Vauxhall
 I20,2016,6990,Manual,19947,Petrol,30,55.4,1.2,Hyundai
 RAV4,2016,16980,Automatic,24560,Petrol,205,43.5,2.0,Toyota
 A Class,2019,19990,Semi-Auto,9980,Diesel,145,67.3,1.5,Mercedes
 A5,2019,27990,Automatic,6845,Diesel,145,50.4,2.0,Audi
 Polo,2018,11990,Manual,11737,Petrol,150,58.9,1.0,Volkswagen
 Corsa,2016,7050,Manual,30356,Petrol,30,55.4,1.4,Vauxhall
 Focus,2019,16499,Manual,13331,Petrol,145,60.1,1.0,Ford
 A5,2016,16498,Manual,26765,Diesel,150,54.3,2.0,Audi
 X1,2016,18998,Semi-Auto,20259,Diesel,145,55.4,2.0,BMW
 EcoSport,2018,15500,Manual,4287,Petrol,145,53.3,1.0,Ford
 Fabia,2015,9495,Semi-Auto,30983,Petrol,20,58.9,1.2,Skoda
 Q2,2019,25250,Manual,2683,Petrol,145,43.5,1.5,Audi
 Kona,2019,14495,Manual,9401,Petrol,145,44.1,1.0,Hyundai
 Fiesta,2016,11127,Manual,22292,Petrol,145,47.9,1.6,Ford
 C Class,2018,18799,Semi-Auto,14731,Petrol,145,46.3,1.5,Mercedes
 Focus,2017,11000,Manual,26864,Diesel,145,74.3,1.5,Ford
 3 Series,2015,11800,Manual,30661,Diesel,30,67.3,2.0,BMW
 Corsa,2016,7230,Manual,35399,Petrol,125,54.3,1.4,Vauxhall
 Corolla,2003,2195,Automatic,102000,Petrol,300,34.5,1.8,Toyota
 Mokka X,2019,12000,Manual,19303,Petrol,145,39.2,1.4,Vauxhall
 A1,2019,19979,Manual,6000,Petrol,145,47.9,1.0,Audi
 Astra,2016,8989,Manual,31845,Petrol,0,65.7,1.0,Vauxhall
 Passat,2019,29995,Automatic,3200,Other,135,41.5,1.4,Volkswagen
 Zafira,2015,9300,Manual,26911,Diesel,150,54.3,2.0,Vauxhall
 Fiesta,2018,11400,Manual,10213,Petrol,145,65.7,1.0,Ford
 Tiguan,2020,29995,Semi-Auto,3000,Petrol,150,30.4,2.0,Volkswagen
 Corsa,2014,4575,Manual,69196,Petrol,125,51.4,1.4,Vauxhall
 Corsa,2016,6899,Manual,31607,Petrol,30,54.3,1.4,Vauxhall
 Kuga,2018,15999,Manual,32362,Diesel,145,54.3,2.0,Ford
 Kuga,2016,12495,Semi-Auto,37877,Diesel,145,52.3,2.0,Ford
 Mondeo,2013,8362,Manual,40100,Diesel,30,61.4,2.0,Ford
 Fiesta,2018,10490,Manual,11814,Petrol,145,65.7,1.0,Ford
 Fiesta,2020,15000,Manual,32,Petrol,145,56.5,1.0,Ford
 1 Series,2019,17480,Semi-Auto,3583,Petrol,145,55.5,1.5,BMW
 C Class,2018,23247,Automatic,10137,Diesel,145,61.4,2.1,Mercedes
 Golf,2019,17298,Manual,9057,Petrol,145,47.1,1.5,Volkswagen
 A Class,2019,24508,Semi-Auto,1000,Diesel,145,65.7,1.5,Mercedes
 S Class,2015,30980,Automatic,20392,Diesel,200,48.7,3.0,Mercedes
 SL CLASS,2018,26254,Semi-Auto,1670,Petrol,145,47.1,2.0,Mercedes
 Fiesta,2016,9790,Manual,11660,Petrol,0,65.7,1.0,Ford
 A3,2017,19425,Semi-Auto,24994,Petrol,30,57.6,1.4,Audi
 Polo,2017,11750,Semi-Auto,21473,Petrol,145,60.1,1.2,Volkswagen
 Polo,2017,12690,Semi-Auto,11485,Petrol,145,60.1,1.2,Volkswagen
 A1,2015,10349,Manual,31509,Petrol,0,67.3,1.0,Audi
 RS5,2017,43996,Automatic,8966,Petrol,145,32.5,2.9,Audi
 Golf,2019,28989,Automatic,100,Petrol,150,32.8,2.0,Volkswagen
 Yaris,2018,12995,Automatic,11327,Hybrid,140,76.3,1.5,Toyota
 Fiesta,2017,10898,Manual,14523,Petrol,145,62.8,1.0,Ford
 Polo,2018,11999,Manual,11432,Petrol,145,64.2,1.0,Volkswagen
 GLA Class,2017,18950,Automatic,25741,Diesel,145,56.5,2.1,Mercedes
 C Class,2020,53669,Semi-Auto,1000,Petrol,145,29.1,3.0,Mercedes
 E Class,2017,24980,Semi-Auto,27993,Diesel,145,65.7,2.0,Mercedes
 C Class,2017,22990,Semi-Auto,15527,Diesel,145,67.3,2.1,Mercedes
 Mondeo,2015,8795,Manual,62248,Diesel,20,68.9,2.0,Ford
 Yeti Outdoor,2017,11990,Manual,10441,Diesel,150,62.8,2.0,Skoda
 Verso,2011,5899,Manual,74488,Petrol,200,41.5,1.6,Toyota
 B Class,2019,23979,Semi-Auto,5425,Diesel,145,55.4,2.0,Mercedes
 5 Series,2017,16490,Automatic,54678,Diesel,125,60.1,2.0,BMW
 Superb,2014,13495,Semi-Auto,19500,Diesel,150,55.4,2.0,Skoda
 Yeti Outdoor,2014,10995,Semi-Auto,48265,Diesel,205,44.8,2.0,Skoda
 3 Series,2014,11205,Manual,47735,Petrol,160,44.8,2.0,BMW
 Karoq,2019,24215,Manual,4488,Diesel,145,62.8,1.6,Skoda
 Citigo,2017,6750,Manual,19650,Petrol,145,64.2,1.0,Skoda
 Caravelle,2019,37944,Semi-Auto,8,Diesel,145,32.8,2.0,Volkswagen
 Crossland X,2018,11498,Manual,14555,Petrol,145,54.3,1.2,Vauxhall
 GLC Class,2019,32000,Semi-Auto,6000,Diesel,145,44.8,2.0,Mercedes
 I10,2014,5498,Manual,23928,Petrol,20,60.1,1.0,Hyundai
 X7,2019,64789,Automatic,3890,Diesel,145,33.6,3.0,BMW
 Fiesta,2016,9995,Manual,13893,Petrol,0,65.7,1.0,Ford
 Yaris,2019,14790,Automatic,4804,Other,135,76.3,1.5,Toyota
 Fiesta,2018,11500,Manual,19891,Petrol,145,65.7,1.0,Ford
 A Class,2019,23745,Automatic,10929,Diesel,145,56.5,2.0,Mercedes
 Fiesta,2014,7299,Manual,31876,Petrol,0,65.7,1.0,Ford
 Tucson,2018,14980,Manual,6124,Petrol,145,44.8,1.6,Hyundai
 Golf,2015,19999,Semi-Auto,35000,Petrol,205,39.8,2.0,Volkswagen
 A5,2014,14745,Semi-Auto,39018,Diesel,145,53.3,2.0,Audi
 Yeti Outdoor,2017,11995,Manual,23058,Diesel,30,62.8,2.0,Skoda
 1 Series,2016,13700,Manual,8719,Petrol,125,52.3,1.5,BMW
 Q3,2020,32444,Semi-Auto,4432,Petrol,145,31.4,2.0,Audi
 Fiesta,2015,6531,Manual,50318,Petrol,0,65.7,1.0,Ford
 Grandland X,2019,18298,Manual,16907,Petrol,145,44.1,1.2,Vauxhall
 Tiguan,2017,20995,Semi-Auto,13402,Diesel,125,57.6,2.0,Volkswagen
 Astra,2018,11000,Automatic,18602,Petrol,145,51.4,1.4,Vauxhall
 3 Series,2011,9750,Automatic,44000,Diesel,145,53.3,2.0,BMW
 X1,2019,25996,Semi-Auto,4850,Petrol,145,46.3,1.5,BMW
 A4,2017,21000,Automatic,11750,Petrol,145,49.6,1.4,Audi
 A Class,2017,16599,Semi-Auto,21000,Petrol,125,53.3,1.6,Mercedes
 Polo,2016,9991,Manual,5440,Petrol,20,60.1,1.0,Volkswagen
 A3,2018,22950,Semi-Auto,8226,Petrol,145,56.5,1.5,Audi
 Rapid,2017,8495,Semi-Auto,33558,Petrol,150,58.9,1.4,Skoda
 Tiguan,2017,21699,Semi-Auto,33547,Diesel,160,49.6,2.0,Volkswagen
 Polo,2013,6770,Manual,39404,Petrol,125,51.4,1.2,Volkswagen
 Astra,2017,11995,Manual,23000,Petrol,125,51.4,1.4,Vauxhall
 Adam,2015,6000,Manual,48704,Petrol,125,51.4,1.4,Vauxhall
 Tucson,2019,15498,Manual,12521,Petrol,145,34.9,1.6,Hyundai
 Focus,2016,15200,Manual,15440,Diesel,20,67.3,2.0,Ford
 A1,2017,12495,Manual,7800,Petrol,150,57.6,1.4,Audi
 Scirocco,2016,15991,Semi-Auto,31269,Diesel,30,62.8,2.0,Volkswagen
 Q2,2020,26169,Manual,6000,Petrol,145,43.5,1.5,Audi
 Mokka X,2017,12000,Manual,23941,Petrol,200,42.2,1.6,Vauxhall
 Mokka,2013,6790,Manual,44000,Diesel,30,62.8,1.7,Vauxhall
 2 Series,2017,15999,Automatic,63039,Hybrid,0,135.5,1.5,BMW
 B Class,2019,23900,Automatic,2502,Petrol,145,44.8,1.3,Mercedes
 Golf,2013,7450,Manual,61520,Petrol,125,53.3,1.4,Volkswagen
 Astra,2014,7500,Manual,42959,Diesel,30,62.8,2.0,Vauxhall
 Polo,2017,10632,Manual,12324,Petrol,145,60.1,1.0,Volkswagen
 Fiesta,2019,14499,Manual,7564,Petrol,145,58.9,1.0,Ford
 Auris,2017,12550,Manual,16000,Petrol,125,52.3,1.2,Toyota
 Yaris,2018,14700,Automatic,6775,Hybrid,140,76.3,1.5,Toyota
 GLA Class,2014,15495,Semi-Auto,60895,Diesel,145,55.4,2.1,Mercedes
 5 Series,2019,38050,Semi-Auto,2269,Diesel,145,51.4,3.0,BMW
 Mokka X,2018,13600,Manual,9630,Petrol,145,39.2,1.4,Vauxhall
 Crossland X,2020,16495,Semi-Auto,10,Petrol,145,44.1,1.2,Vauxhall
 V Class,2019,53581,Automatic,3000,Diesel,145,37.2,2.0,Mercedes
 Yaris,2018,10291,Manual,27365,Petrol,145,58.9,1.5,Toyota
 Tucson,2015,11176,Manual,43169,Diesel,30,61.7,1.7,Hyundai
 Yaris,2013,5299,Manual,65895,Petrol,125,51.4,1.3,Toyota
 Kuga,2017,11051,Manual,34445,Petrol,150,45.6,1.5,Ford
 A3,2017,17490,Manual,25000,Petrol,30,60.1,1.4,Audi
 I10,2017,7995,Manual,25000,Petrol,145,60.1,1.0,Hyundai
 Tiguan,2019,25950,Automatic,8639,Diesel,145,39.8,2.0,Volkswagen
 Yeti Outdoor,2016,11495,Manual,23373,Diesel,30,62.8,2.0,Skoda
 S Class,2015,38980,Automatic,11000,Petrol,270,33.2,4.7,Mercedes
 I40,2016,12995,Manual,18340,Diesel,125,60.1,1.7,Hyundai
 Fiesta,2018,10600,Manual,23060,Petrol,145,56.5,1.0,Ford
 Fiesta,2016,8950,Manual,10864,Petrol,125,54.3,1.2,Ford
 Golf,2015,11698,Manual,9996,Petrol,30,53.3,1.4,Volkswagen
 Mokka X,2019,13290,Manual,9791,Petrol,145,39.2,1.4,Vauxhall
 A Class,2011,5499,Automatic,52235,Petrol,205,41.5,1.5,Mercedes
 A Class,2019,25000,Semi-Auto,7800,Petrol,145,53.3,1.3,Mercedes
 TT,2016,16995,Manual,11000,Petrol,145,47.1,1.8,Audi
 Fiesta,2020,19718,Manual,10,Petrol,145,55.4,1.0,Ford
 C Class,2016,10998,Manual,83786,Diesel,20,72.4,1.6,Mercedes
 RAV4,2019,29550,Automatic,8357,Hybrid,135,49.6,2.5,Toyota
 5 Series,2016,12600,Manual,59528,Diesel,125,60.1,2.0,BMW
 1 Series,2018,23499,Semi-Auto,12087,Petrol,145,39.8,3.0,BMW
 Golf,2018,13746,Manual,13965,Petrol,145,49.6,1.0,Volkswagen
 A4,2017,16725,Semi-Auto,75882,Diesel,145,53.3,3.0,Audi
 4 Series,2014,11870,Semi-Auto,77209,Diesel,125,60.1,2.0,BMW
 A4,2016,12495,Manual,20332,Petrol,125,53.3,1.4,Audi
 Focus,2018,10491,Manual,23968,Petrol,145,60.1,1.0,Ford
 Corsa,2016,6990,Manual,22610,Petrol,30,55.4,1.4,Vauxhall
 I10,2018,7995,Manual,8851,Petrol,145,60.1,1.0,Hyundai
 E Class,2017,21752,Semi-Auto,33090,Diesel,145,61.4,2.0,Mercedes
 Crossland X,2019,11983,Manual,19379,Petrol,145,44.8,1.2,Vauxhall
 A4,2017,16499,Semi-Auto,14700,Petrol,30,55.4,2.0,Audi
 Q7,2020,59750,Semi-Auto,4500,Diesel,145,33.2,3.0,Audi
 Up,2017,7950,Manual,24500,Petrol,145,60.1,1.0,Volkswagen
 A4,2014,9750,Automatic,57800,Diesel,125,58.9,2.0,Audi
 Yeti Outdoor,2017,12789,Manual,21803,Diesel,30,62.8,2.0,Skoda
 Passat,2016,13450,Manual,35761,Diesel,20,67.3,2.0,Volkswagen
 3 Series,2020,41990,Semi-Auto,9,Petrol,145,34.9,3.0,BMW
 A8,2018,36496,Semi-Auto,10961,Diesel,145,48.7,3.0,Audi
 5 Series,2019,39999,Semi-Auto,5877,Diesel,145,60.1,2.0,BMW
 Corsa,2010,2699,Manual,43000,Petrol,145,48.7,1.2,Vauxhall
 Tucson,2020,23480,Semi-Auto,3100,Petrol,145,36.2,1.6,Hyundai
 Q5,2018,37500,Semi-Auto,20283,Petrol,150,34.0,3.0,Audi
 Focus,2019,15480,Manual,2485,Petrol,145,60.1,1.0,Ford
 Q2,2018,20890,Semi-Auto,15300,Petrol,145,54.3,1.4,Audi
 Corsa,2017,7950,Manual,18239,Petrol,150,54.3,1.4,Vauxhall
 Q5,2020,51000,Semi-Auto,5000,Diesel,145,34.5,3.0,Audi
 Auris,2015,14850,Automatic,42133,Hybrid,0,70.6,1.8,Toyota
 3 Series,2016,13798,Semi-Auto,34860,Petrol,125,54.3,1.5,BMW
 Q8,2019,56000,Automatic,9126,Diesel,145,33.6,3.0,Audi
 Karoq,2019,21995,Automatic,200,Petrol,150,41.5,1.5,Skoda
 Karoq,2020,23990,Automatic,4000,Petrol,145,40.9,1.5,Skoda
 Corsa,2015,6999,Manual,32632,Diesel,0,83.1,1.2,Vauxhall
 Focus,2019,14540,Manual,5908,Diesel,145,80.7,1.5,Ford
 Octavia,2019,14890,Manual,3196,Diesel,150,56.5,2.0,Skoda
 2 Series,2015,15882,Semi-Auto,23742,Petrol,125,51.4,1.5,BMW
 Golf,2016,9995,Manual,56132,Diesel,0,74.3,1.6,Volkswagen
 A6,2007,3995,Automatic,136000,Diesel,240,40.4,2.0,Audi
 CC,2016,10965,Manual,33017,Diesel,30,60.1,2.0,Volkswagen
 A1,2015,9999,Manual,37759,Diesel,0,80.7,1.6,Audi
 3 Series,2019,19850,Automatic,11505,Petrol,145,51.4,1.5,BMW
 Corsa,2018,7998,Manual,9109,Petrol,145,43.5,1.4,Vauxhall
 Astra,2017,11795,Semi-Auto,14275,Petrol,125,50.4,1.4,Vauxhall
 1 Series,2019,24450,Manual,10,Petrol,145,41.5,1.5,BMW
 E Class,2015,15540,Automatic,29963,Diesel,145,53.3,3.0,Mercedes
 TT,2019,29495,Semi-Auto,9255,Petrol,150,34.9,2.0,Audi
 C Class,2017,14900,Automatic,27287,Petrol,125,53.3,2.0,Mercedes
 Fiesta,2017,8900,Manual,13029,Petrol,0,65.7,1.0,Ford
 C Class,2019,28999,Semi-Auto,2392,Petrol,150,46.3,1.5,Mercedes
 3 Series,2018,24790,Semi-Auto,12,Petrol,145,48.7,2.0,BMW
 E Class,2019,34980,Semi-Auto,2003,Diesel,145,57.7,2.0,Mercedes
 5 Series,2019,34500,Semi-Auto,1007,Hybrid,135,156.9,2.0,BMW
 3 Series,2016,19495,Automatic,27500,Diesel,160,51.4,3.0,BMW
 Aygo,2017,8298,Manual,2509,Petrol,0,68.9,1.0,Toyota
 Q5,2019,34496,Semi-Auto,4430,Diesel,145,38.2,2.0,Audi
 T-Roc,2020,24490,Manual,799,Petrol,145,44.1,1.5,Volkswagen
 Q2,2017,19990,Automatic,16991,Diesel,145,57.7,2.0,Audi
 Golf,2017,16999,Manual,50901,Diesel,145,60.1,2.0,Volkswagen
 Mokka X,2017,12250,Manual,12506,Diesel,145,68.9,1.6,Vauxhall
 Octavia,2019,16256,Manual,6585,Petrol,150,50.4,1.5,Skoda
 Fiesta,2018,11699,Manual,21581,Petrol,145,62.8,1.0,Ford
 Crossland X,2019,15500,Manual,2000,Petrol,145,47.1,1.2,Vauxhall
 Corsa,2019,12990,Manual,10,Petrol,145,43.5,1.4,Vauxhall
 3 Series,2019,29754,Semi-Auto,8853,Diesel,145,52.3,2.0,BMW
 Focus,2018,12750,Manual,8558,Petrol,145,60.1,1.0,Ford
 Sharan,2017,19500,Semi-Auto,28000,Diesel,145,54.3,2.0,Volkswagen
 Aygo,2013,4490,Manual,16180,Petrol,0,65.7,1.0,Toyota
 Corsa,2019,10990,Manual,100,Petrol,145,43.5,1.4,Vauxhall
 A3,2017,17498,Manual,23760,Petrol,30,60.1,1.4,Audi
 Q3,2016,17925,Automatic,39820,Diesel,145,52.3,2.0,Audi
 Golf,2014,8299,Manual,39416,Diesel,0,68.9,1.6,Volkswagen
 Karoq,2018,19772,Manual,12894,Petrol,150,51.4,1.5,Skoda
 Aygo,2017,6999,Manual,12590,Petrol,0,69.0,1.0,Toyota
 Karoq,2018,16290,Manual,6120,Diesel,150,62.8,1.6,Skoda
 RAV4,2014,11400,Manual,36933,Diesel,145,53.0,2.0,Toyota
 Golf,2016,10500,Manual,95140,Diesel,30,58.9,2.0,Volkswagen
 Tiguan,2019,28990,Automatic,3731,Diesel,145,39.8,2.0,Volkswagen
 Superb,2019,17498,Semi-Auto,15676,Petrol,145,36.7,1.5,Skoda
 Focus,2013,5902,Manual,57890,Diesel,20,67.3,1.6,Ford
 A3,2019,18000,Automatic,12607,Diesel,145,52.3,1.6,Audi
 EcoSport,2018,13895,Automatic,28536,Petrol,145,48.7,1.0,Ford
 A3,2019,30995,Semi-Auto,4549,Petrol,150,34.5,2.0,Audi
 A Class,2017,17695,Automatic,7145,Diesel,145,74.3,1.5,Mercedes
 Fiesta,2018,10500,Manual,29740,Petrol,145,65.7,1.0,Ford
 Tiguan,2016,14499,Semi-Auto,36824,Diesel,200,47.7,2.0,Volkswagen
 I10,2016,7499,Semi-Auto,21597,Petrol,150,47.9,1.2,Hyundai
 Astra,2017,10491,Manual,16515,Diesel,20,72.4,1.6,Vauxhall
 Q5,2015,20499,Manual,24380,Diesel,200,47.9,2.0,Audi
 Fiesta,2017,9000,Manual,22903,Petrol,0,65.7,1.0,Ford
 Edge,2016,19991,Manual,30282,Diesel,205,47.9,2.0,Ford
 Golf,2017,14000,Automatic,11401,Petrol,0,65.7,1.0,Volkswagen
 Fiesta,2014,5698,Manual,51892,Petrol,30,54.3,1.2,Ford
 Golf,2019,25999,Semi-Auto,8652,Diesel,145,49.6,2.0,Volkswagen
 C Class,2019,28995,Automatic,3000,Petrol,145,45.6,1.5,Mercedes
 Octavia,2017,10490,Manual,33300,Diesel,150,68.9,1.6,Skoda
 Polo,2019,11690,Manual,6420,Petrol,145,48.7,1.0,Volkswagen
 B-MAX,2016,7990,Semi-Auto,13446,Petrol,160,44.1,1.6,Ford
 Fiesta,2018,10295,Manual,13800,Petrol,150,65.7,1.0,Ford
 Polo,2017,8999,Manual,24181,Petrol,145,58.9,1.0,Volkswagen
 C-MAX,2016,9998,Manual,24609,Diesel,20,68.9,1.5,Ford
 Crossland X,2017,9998,Manual,19527,Petrol,150,58.9,1.2,Vauxhall
 Astra,2017,11700,Manual,18405,Diesel,150,72.4,1.6,Vauxhall
 Golf,2018,15499,Manual,21612,Diesel,145,67.3,2.0,Volkswagen
 Mokka X,2018,13995,Manual,18700,Petrol,145,47.1,1.4,Vauxhall
 A5,2020,28991,Semi-Auto,5432,Diesel,145,51.4,2.0,Audi
 Golf,2017,11795,Manual,49672,Diesel,145,61.4,1.6,Volkswagen
 A Class,2019,22056,Semi-Auto,4711,Petrol,145,47.9,1.3,Mercedes
 SQ5,2016,28888,Automatic,46709,Diesel,235,42.2,3.0,Audi
 A3,2019,21490,Semi-Auto,14090,Petrol,145,42.2,1.5,Audi
 Q5,2015,26400,Automatic,19780,Diesel,235,42.8,3.0,Audi
 A Class,2017,14990,Manual,29000,Petrol,145,49.6,1.6,Mercedes
 Mokka X,2017,11260,Manual,24815,Petrol,200,42.2,1.6,Vauxhall
 Fiesta,2019,16275,Manual,1899,Petrol,145,60.1,1.0,Ford
 Fabia,2016,7552,Manual,21159,Petrol,20,60.1,1.2,Skoda
 Kuga,2019,17795,Manual,10200,Petrol,145,34.4,1.5,Ford
 Kodiaq,2019,30995,Semi-Auto,9500,Diesel,145,37.2,2.0,Skoda
 Superb,2016,16500,Automatic,45020,Diesel,150,55.4,2.0,Skoda
 Insignia,2016,8295,Manual,39407,Diesel,0,74.3,1.6,Vauxhall
 EcoSport,2018,11491,Manual,18947,Petrol,145,54.3,1.0,Ford
 Mokka X,2017,10600,Manual,31429,Petrol,145,47.1,1.4,Vauxhall
 Golf,2015,11070,Manual,20137,Petrol,30,53.3,1.4,Volkswagen
 Mokka X,2017,13270,Automatic,10000,Petrol,145,43.5,1.4,Vauxhall
 I10,2017,7291,Manual,12006,Petrol,150,60.1,1.0,Hyundai
 Fiesta,2009,3895,Manual,65000,Petrol,150,47.9,1.6,Ford
 Golf,2014,9995,Semi-Auto,67000,Diesel,30,62.8,2.0,Volkswagen
 Aygo,2016,5990,Manual,24194,Petrol,0,69.0,1.0,Toyota
 Golf,2015,10540,Manual,24410,Diesel,20,68.9,2.0,Volkswagen
 Citigo,2018,8490,Manual,11573,Petrol,145,64.2,1.0,Skoda
 X1,2017,21500,Automatic,25100,Diesel,145,57.6,2.0,BMW
 Corolla,2019,17480,Manual,9999,Petrol,145,39.2,1.2,Toyota
